"creation_date","entity_id","position","impacto","morada","motivo","periodos_condicionamentos","restricao_circulacao","periodos_condicionamentos['date_max']"
"2024-10-14T10:11:57.000Z","EMEL.condicionamentoTransito.COND-2024-1403-PA-17","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.129976705,38.741604984],[-9.130100087,38.741277576],[-9.129784927,38.741217952],[-9.129668251,38.741511887],[-9.129976705,38.741604984]]],""type"":""MultiLineString""}]}","Relevante","R. Jorge Castilho n.º 26-28 / Avª. Afonso Costa,16-18","CARGAS E DESCARGAS/OBRAS","[{""end_date"":""1731600000000"",""date_min"":""2024-11-01"",""hour_max"":""16:00:00"",""date_max"":""2024-11-14"",""start_date"":""1730455200000"",""hour_min"":""10:00:00""}]","Estreitamento de via","[""2024-11-14""]"
"2024-10-08T09:42:35.000Z","EMEL.condicionamentoTransito.COND-2024-1419-PA-17","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.137120426,38.711602999],[-9.137140542,38.711646951]]],""type"":""MultiLineString""}]}","Relevante","Rua da Prata,174-178","CARGAS E DESCARGAS/OBRAS","[{""end_date"":""1731657600000"",""date_min"":""2024-11-04"",""hour_max"":""08:00:00"",""date_max"":""2024-11-15"",""start_date"":""1730700000000"",""hour_min"":""06:00:00""},{""end_date"":""1731711600000"",""date_min"":""2024-11-04"",""hour_max"":""23:00:00"",""date_max"":""2024-11-15"",""start_date"":""1730750400000"",""hour_min"":""20:00:00""}]","Passeio","[""2024-11-15"",""2024-11-15""]"
"2024-01-03T15:48:22.000Z","EMEL.condicionamentoTransito.COND-2024-14-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.151998068,38.706278273],[-9.150935913,38.706265191],[-9.150396119,38.706255511],[-9.14985096,38.706236935],[-9.149820114,38.70618513],[-9.152023549,38.706224899],[-9.151998068,38.706278796],[-9.151997733,38.706279581],[-9.151466488,38.70627134],[-9.151201536,38.706268527],[-9.150936584,38.706266238],[-9.150395783,38.706255511],[-9.15001206,38.706242298],[-9.14985163,38.706237458],[-9.150395951,38.706254595],[-9.150936919,38.706265453],[-9.151997397,38.706278796]]],""type"":""MultiLineString""}]}","Relevante","Rua da Cintura do Porto de Lisboa / Término do Cais do Sodré","RESERVA DE ESTACIONAMENTO","[{""end_date"":""1734307140000"",""date_min"":""2024-01-15"",""hour_max"":""23:59:00"",""date_max"":""2024-12-15"",""start_date"":""1705276800000"",""hour_min"":""00:00:00""}]","Estacionamento","[""2024-12-15""]"
"2024-10-01T15:08:12.000Z","EMEL.condicionamentoTransito.COND-2024-5918-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.158249674,38.724548938],[-9.151125727,38.725218553],[-9.150353251,38.725486398],[-9.148550807,38.72806435],[-9.149795352,38.729403509],[-9.149881182,38.729470466]]],""type"":""MultiLineString""}]}","Relevante","Túnel do Marquês","OBRA - FAIXA DE RODAGEM","[{""end_date"":""1730268000000"",""date_min"":""2024-10-29"",""hour_max"":""06:00:00"",""date_max"":""2024-10-30"",""start_date"":""1730239200000"",""hour_min"":""22:00:00""},{""end_date"":""1730354400000"",""date_min"":""2024-10-30"",""hour_max"":""06:00:00"",""date_max"":""2024-10-31"",""start_date"":""1730325600000"",""hour_min"":""22:00:00""}]","Corte total","[""2024-10-30"",""2024-10-31""]"
"2024-10-14T10:19:28.000Z","EMEL.condicionamentoTransito.COND-2024-4914-PA-5","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.156700267,38.774420859],[-9.156714348,38.774422951],[-9.15693429,38.774452226]]],""type"":""MultiLineString""}]}","Relevante","Estrada da Torre S/N","CARGAS E DESCARGAS/OBRAS","[{""end_date"":""1730824200000"",""date_min"":""2024-10-22"",""hour_max"":""16:30:00"",""date_max"":""2024-11-05"",""start_date"":""1729587600000"",""hour_min"":""10:00:00""}]","Estreitamento de via","[""2024-11-05""]"
"2024-09-19T09:11:05.000Z","EMEL.condicionamentoTransito.COND-2024-5646-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.161164713,38.718561919],[-9.161153985,38.718529481]]],""type"":""MultiLineString""}]}","Relevante","Rua do Cabo,55 ","CARGAS E DESCARGAS","[{""end_date"":""1729962000000"",""date_min"":""2024-09-26"",""hour_max"":""18:00:00"",""date_max"":""2024-10-26"",""start_date"":""1727334000000"",""hour_min"":""08:00:00""}]","Estacionamento","[""2024-10-26""]"
"2024-06-27T08:51:25.000Z","EMEL.condicionamentoTransito.COND-2024-3960-2","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.179630455,38.760151471],[-9.17965311,38.760919426],[-9.179652372,38.761108983],[-9.179653713,38.761439437],[-9.179640302,38.761603618],[-9.179700652,38.762657713],[-9.180229047,38.763072863]]],""type"":""MultiLineString""}]}","Relevante"," Rua Padre Américo, N.º 4 - 22 {e entroncamento com a Rua Aristides de Sousa Mendes}","OBRA - FAIXA DE RODAGEM","[{""end_date"":""1730394000000"",""date_min"":""2024-09-02"",""hour_max"":""17:00:00"",""date_max"":""2024-10-31"",""start_date"":""1725260400000"",""hour_min"":""08:00:00""}]","Estreitamento de via","[""2024-10-31""]"
"2024-09-19T09:04:32.000Z","EMEL.condicionamentoTransito.COND-2024-5644-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.156982488,38.739359546],[-9.15693555,38.739383605]]],""type"":""MultiLineString""}]}","Relevante","Av. Santos Dumont, 76","CARGAS E DESCARGAS/OBRAS","[{""end_date"":""1729962000000"",""date_min"":""2024-09-26"",""hour_max"":""18:00:00"",""date_max"":""2024-10-26"",""start_date"":""1727334000000"",""hour_min"":""08:00:00""}]","Estacionamento","[""2024-10-26""]"
"2024-07-29T17:30:51.000Z","EMEL.condicionamentoTransito.COND-2024-4684-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.165029828,38.766793527],[-9.164879624,38.76689391],[-9.16459531,38.766948285],[-9.165067379,38.766981746],[-9.164589946,38.766952467],[-9.162589018,38.76687718],[-9.16100115,38.766764249],[-9.158651158,38.766597574],[-9.1580718,38.766539017]]],""type"":""MultiLineString""}]}","Relevante","Avenida Rainha Dona Amélia","OBRA - FAIXA DE RODAGEM","[{""end_date"":""1738958400000"",""date_min"":""2024-08-05"",""hour_max"":""20:00:00"",""date_max"":""2025-02-07"",""start_date"":""1722841200000"",""hour_min"":""08:00:00""}]","Estreitamento de via","[""2025-02-07""]"
"2024-09-25T23:58:06.000Z","EMEL.condicionamentoTransito.COND-2024-5801-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.148894226,38.728674424],[-9.148499941,38.728205717],[-9.148416793,38.728226641],[-9.148239767,38.728490289]]],""type"":""MultiLineString""}]}","Relevante","Cruzamento da Av. Fontes Pereira de Melo c/Rua António Augusto Aguiar","LIGAÇÃO DE RAMAL - PASSEIO E ESTACION.","[{""end_date"":""1729612800000"",""date_min"":""2024-10-09"",""hour_max"":""17:00:00"",""date_max"":""2024-10-22"",""start_date"":""1728457200000"",""hour_min"":""08:00:00""}]","Estreitamento de via","[""2024-10-22""]"
"2024-09-25T10:31:07.000Z","EMEL.condicionamentoTransito.COND-2024-5786-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.128213298,38.720723719],[-9.128196534,38.720624841],[-9.128363837,38.720608884],[-9.128387641,38.720731044]]],""type"":""MultiLineString""}]}","Relevante","Rua da Senhora da Glória, 109-111{Pátio do Sousa, 1-4}","BETONAGENS/CARGAS DESCARGAS","[{""end_date"":""1729524600000"",""date_min"":""2024-10-08"",""hour_max"":""16:30:00"",""date_max"":""2024-10-21"",""start_date"":""1728378000000"",""hour_min"":""10:00:00""}]","Cortes temporários","[""2024-10-21""]"
"2024-09-25T10:27:27.000Z","EMEL.condicionamentoTransito.COND-2023-7258-P-5","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.152776896,38.791047932],[-9.152369201,38.791348979]]],""type"":""MultiLineString""}]}","Relevante","Rua Carlos Rocha {troço entre a Rua Barata Feyo e a Rua Maluda}","OBRA - FAIXA DE RODAGEM","[{""end_date"":""1735689540000"",""date_min"":""2024-10-05"",""hour_max"":""23:59:00"",""date_max"":""2024-12-31"",""start_date"":""1728111600000"",""hour_min"":""08:00:00""}]","Corte total","[""2024-12-31""]"
"2024-10-03T08:44:34.000Z","EMEL.condicionamentoTransito.COND-2023-4979-PA-29","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.176718263,38.704695386],[-9.176670989,38.704738819],[-9.176717257,38.704696433]]],""type"":""MultiLineString""}]}","Relevante","Largo das Fontainhas,23-27","BETONAGENS/CARGAS DESCARGAS","[{""end_date"":""1730392200000"",""date_min"":""2024-10-18"",""hour_max"":""16:30:00"",""date_max"":""2024-10-31"",""start_date"":""1729242000000"",""hour_min"":""10:00:00""}]","Estreitamento de via","[""2024-10-31""]"
"2024-09-30T14:06:21.000Z","EMEL.condicionamentoTransito.COND-2024-4745-P-8","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.143697587,38.718643291],[-9.146779445,38.722211309],[-9.149125037,38.724832277],[-9.149539438,38.724523625],[-9.142542951,38.716279372],[-9.141876477,38.71664024],[-9.144316,38.719332424],[-9.144942351,38.720036479],[-9.145838209,38.721126762],[-9.14683599,38.722254697],[-9.149125738,38.724849445],[-9.14898004,38.72513397],[-9.149127562,38.724843106]]],""type"":""MultiLineString""}]}","Relevante","Avenida da Liberdade {laterais entre a Praça Marquês de Pombal e o cruzamento com a R. das Pretas/Praça da Alegria}","OBRA - FAIXA DE RODAGEM","[{""end_date"":""1729314000000"",""date_min"":""2024-10-06"",""hour_max"":""06:00:00"",""date_max"":""2024-10-19"",""start_date"":""1728248400000"",""hour_min"":""22:00:00""}]","Cortes temporários","[""2024-10-19""]"
"2024-10-03T22:26:41.000Z","EMEL.condicionamentoTransito.COND-2024-5973-A-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.150626062,38.721618346],[-9.15066093,38.72164555]]],""type"":""MultiLineString""}]}","Relevante","Rua Castilho,17","CARGAS E DESCARGAS","[{""end_date"":""1730311200000"",""date_min"":""2024-10-17"",""hour_max"":""18:00:00"",""date_max"":""2024-10-30"",""start_date"":""1729148400000"",""hour_min"":""08:00:00""}]","Estacionamento","[""2024-10-30""]"
"2024-09-25T09:27:42.000Z","EMEL.condicionamentoTransito.COND-2023-5357-PA-28","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.147345042,38.740105741],[-9.147487199,38.740101034]]],""type"":""MultiLineString""}]}","Relevante","Av. Barbosa du Bocage, 65 a 67,","BETONAGENS/CARGAS DESCARGAS","[{""end_date"":""1730910600000"",""date_min"":""2024-10-23"",""hour_max"":""16:30:00"",""date_max"":""2024-11-06"",""start_date"":""1729674000000"",""hour_min"":""10:00:00""}]","Estreitamento de via","[""2024-11-06""]"
"2024-02-16T23:41:25.000Z","EMEL.condicionamentoTransito.COND-2024-1042-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.09243791,38.779729973],[-9.092290388,38.779255328],[-9.092431204,38.779741474],[-9.092164324,38.779792702],[-9.092051671,38.779366149],[-9.091520594,38.779487424],[-9.091413306,38.779299238],[-9.092051671,38.778968866],[-9.091971205,38.778475397],[-9.092101292,38.778445078],[-9.092198522,38.77899239],[-9.093023008,38.778952629],[-9.093042832,38.779029962],[-9.093068019,38.779107295],[-9.092299273,38.779259902],[-9.093065211,38.779109222],[-9.093025313,38.778958412],[-9.092200534,38.778995004],[-9.092105316,38.77843776]]],""type"":""MultiLineString""}]}","Relevante","Travessa Sindbad o Marinheiro e o Passeio dos Heróis do Mar {entre a Travessa Corto Maltese e a Travessa Gil}","OBRA - FAIXA DE RODAGEM","[{""end_date"":""1741111200000"",""date_min"":""2024-03-04"",""hour_max"":""18:00:00"",""date_max"":""2025-03-04"",""start_date"":""1709537400000"",""hour_min"":""07:30:00""}]","Corte total","[""2025-03-04""]"
"2024-09-27T13:19:38.000Z","EMEL.condicionamentoTransito.COND-2024-5849-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.114222329,38.736243225],[-9.113747578,38.736138614]]],""type"":""MultiLineString""}]}","Relevante","Rua Quinta dos Ourives-Proj 296/23-Marvila","OBRAS NO SUBSOLO - PASSEIO E ESTACION.","[{""end_date"":""1729872000000"",""date_min"":""2024-10-14"",""hour_max"":""17:00:00"",""date_max"":""2024-10-25"",""start_date"":""1728889200000"",""hour_min"":""08:00:00""}]","Passeio","[""2024-10-25""]"
"2024-10-15T09:48:46.000Z","EMEL.condicionamentoTransito.COND-2024-2128-PA-7","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.145159574,38.756823943],[-9.14508179,38.756841722]]],""type"":""MultiLineString""}]}","Relevante","Avenida do Brasil,110 - {apoio edifício Avenida Roma,116}","RESERVA DE ESTACIONAMENTO","[{""end_date"":""1731974340000"",""date_min"":""2024-10-18"",""hour_max"":""23:59:00"",""date_max"":""2024-11-18"",""start_date"":""1729206000000"",""hour_min"":""00:00:00""}]","Estacionamento","[""2024-11-18""]"
